SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Ipswich,51,310,13.92362632,2,-13.2701774,1,362,360,2,2,69200,2,-0.672877847,3,-15.95744681,-5.737704918,15.93855017,2,1,1,4.607186748,0,15216,15471,1.675867508,2,82.50377074,0
Logan - Beaudesert,51,311,13.92362632,2,-30.58053134,0,420,395,2,1,72500,2,-5.445544554,1,-37.14285714,-18.14671815,23.96598376,0,0,3,3.736951404,1,19159,19177,0.093950624,0,-23.04469274,0
Mackay,51,312,25.60200298,0,55.78593701,3,247.5,290,3,3,91500,3,-0.501567398,3,-11.76470588,21.05263158,11.80973209,2,3,0,6.058388624,0,14395,14444,0.340395971,1,-23.04469274,0
Moreton Bay - North,51,313,13.92362632,2,22.25879632,3,282.25,300,3,3,59500,1,-2.593010147,2,7.317073171,-22.03947368,8.760330579,3,0,0,3.93786337,1,12769,12788,0.14879787,0,21.07526882,1
Moreton Bay - South,51,314,13.92362632,2,0,0,402.5,385,2,1,93100,3,-14.4295302,0,27.90697674,1.492537313,22.27488152,3,2,3,1.667599177,3,11058,11320,2.369325375,3,21.07526882,1
Queensland - Outback,51,315,13.92362632,2,25.8167194,3,332.5,380,2,1,70700,2,5.471634777,3,280,41.66666667,30.59895833,3,3,3,2.142207185,3,6685,6937,3.769633508,3,21.07526882,1
Sunshine Coast,51,316,13.92362632,2,36.78402722,3,660,480,0,0,58800,1,-7.495315428,1,-26.76056338,-9.073724008,13.97468354,1,1,1,2.507864327,2,32265,32473,0.644661398,1,46.78111588,2
Toowoomba,51,317,24.30199043,0,13.88588381,2,330.75,308,2,3,63700,2,0.072516316,3,-8.823529412,-9.826589595,13.73707533,2,1,1,3.037129602,2,11072,11319,2.230852601,3,46.78111588,0
Townsville,51,318,13.92362632,2,-29.18665718,0,241,283,3,3,75400,2,-4.414515526,2,-12.94117647,0,5.386178862,2,2,0,7.681638549,0,15559,15541,-0.115688669,0,-23.04469274,0
Wide Bay,51,319,3.843226838,3,15.28892189,2,190,260,3,3,46600,1,-0.84254871,3,-7.142857143,11.05769231,24.57496136,2,3,3,4.316654308,1,20367,20441,0.363332842,1,-31.38297872,0
Adelaide - Central and Hills,51,401,7.433845998,3,13.5079787,2,527,383,1,1,76300,2,-5,1,1.081081081,-9.176122348,15.19892713,3,1,1,4.195290966,1,43309,44074,1.766376504,2,16.3064833,1
Adelaide - North,51,402,7.433845998,3,46.82501383,3,390,340,2,2,61400,2,1.555352242,3,-12.65822785,18.82716049,16.18015013,2,3,1,4.660313535,0,18844,18789,-0.291870091,0,16.3064833,1
Adelaide - South,51,403,7.433845998,3,-2.832896831,1,501,350,1,2,66800,2,-12.06185567,0,-26.08695652,2.330097087,17.84467714,1,2,2,4.364327916,1,20178,20240,0.307265338,1,16.3064833,1
Adelaide - West,51,404,7.433845998,3,-20.55010995,1,507,385,1,1,58900,1,-17.57575758,0,-25.33333333,-14.10788382,15.58915537,1,0,1,5.39644883,0,16196,16347,0.93232897,1,16.3064833,1
Barossa - Yorke - Mid North,51,405,7.661916231,3,3.245350382,2,220,270,3,3,51000,1,0.094206312,3,42.85714286,16.66666667,28.45138055,3,3,3,4.03126196,1,10319,10507,1.821881965,2,299.5859213,3
South Australia - Outback,51,406,6.220736189,3,-15.0077141,1,290,250,3,3,58500,1,-2.875399361,2,-28.57142857,-41.66666667,12.13171577,1,0,0,6.120572251,0,6329,6282,-0.742613367,0,299.5859213,0
South Australia - South East,51,407,4.779556147,3,32.07667851,3,228,250,3,3,50600,1,-0.41199034,3,-39.13043478,-17.05882353,26.20638456,0,0,3,2.763508082,2,17423,17527,0.596912128,1,72.77734068,3
Bunbury,51,501,21.78208547,1,84.17998431,3,499,360,1,2,70500,2,-3.059527769,2,-22.44897959,25.26315789,17.65114663,1,3,2,0.609090593,3,14400,14546,1.013888889,1,72.77734068,0
